,CRASH_HOUR,Month,Unnamed: 0,CRASH_RECORD_ID,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION,Year
61,5,2,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
62,5,3,7,7,0,7,7,7,7,7,7,7,7,5,7,7,7,7,7,0,1,3,7,7,7,7,7,7,7,7,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
63,5,4,14,14,6,14,14,14,14,14,14,14,14,13,14,14,14,14,14,2,1,10,14,14,14,14,14,14,14,14,0,0,0,0,0,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
64,5,5,10,10,1,10,10,10,10,10,10,10,10,8,10,10,10,10,10,1,0,6,10,10,10,10,10,10,10,10,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
65,5,6,7,7,0,7,7,7,7,7,7,7,7,6,7,7,7,7,7,1,0,3,7,7,7,7,7,7,7,7,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
66,5,7,7,7,0,7,7,7,7,7,7,7,7,5,7,7,7,7,7,0,0,0,7,7,7,7,7,7,7,7,0,1,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
67,5,8,10,10,2,10,10,10,10,10,10,10,10,9,10,10,10,10,10,2,0,4,10,10,10,10,10,10,10,10,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
68,5,9,11,11,1,11,11,11,11,11,11,11,11,9,11,11,11,11,11,4,0,6,11,11,11,11,11,11,11,11,0,0,0,0,0,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
69,5,10,11,11,2,11,11,11,11,11,11,11,11,9,11,11,11,11,11,1,0,4,11,11,11,11,11,11,11,11,0,0,0,0,0,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
70,5,11,13,13,0,13,13,13,13,13,13,13,13,11,13,13,13,13,13,0,2,4,13,13,13,13,13,13,13,13,0,1,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
